ride_date,city,total_rides,completed_rides,cancelled_rides,total_revenue,avg_distance_km,avg_fare
2024-08-04,Hyderabad,8,7,0,730.24,6.45,91.28
2024-03-13,Bangalore,14,12,0,2102.4,7.51,150.17
2023-04-15,Chennai,11,5,0,473.22,2.71,43.02
2024-02-25,Chennai,5,4,0,532.32,6.47,106.46
2024-03-29,Hyderabad,9,7,0,686.51,5.97,76.28
2024-08-15,Mumbai,3,2,0,202.56,5.63,67.52
2023-08-27,Hyderabad,12,10,0,986.74,6.29,82.23
2026-01-12,Delhi,9,6,0,619.3,6.88,68.81
2023-12-05,Hyderabad,13,12,0,1193.36,7.3,91.8
2024-06-22,Hyderabad,8,6,0,607.76,5.83,75.97
2023-04-18,Chennai,17,15,0,1725.7,6.31,101.51
2024-12-15,Chennai,9,8,0,1106.6,7.29,122.96
2024-09-23,Mumbai,7,2,0,156.24,1.86,22.32
2023-12-29,Mumbai,8,7,0,623.04,5.81,77.88
2023-08-05,Chennai,10,9,0,786.04,4.4,78.6
2025-10-27,Chennai,14,10,0,1170.82,5.02,83.63
2023-07-01,Hyderabad,7,7,0,498.19,6.1,71.17
2023-04-27,Chennai,10,8,0,1044.48,6.53,104.45
2023-08-16,Delhi,15,11,0,1070.6,6.7,71.37
2023-07-04,Bangalore,11,9,0,1664.64,7.78,151.33
2024-11-15,Chennai,16,15,0,1664.31,6.35,104.02
2024-02-28,Delhi,7,5,0,343.7,4.91,49.1
2023-12-07,Hyderabad,8,7,0,648.96,6.61,81.12
2025-02-24,Bangalore,8,8,0,917.08,6.22,114.64
2023-07-19,Chennai,15,13,0,1559.75,6.52,103.98
2025-03-27,Bangalore,8,7,0,889.05,5.96,111.13
2023-09-24,Mumbai,14,9,0,998.49,4.99,71.32
2025-08-21,Delhi,11,8,0,498.82,4.22,45.35
2023-01-10,Delhi,8,7,0,591.9,7.4,73.99
2023-01-31,Chennai,10,9,0,1190.53,7.0,119.05
2025-01-25,Mumbai,15,11,0,1502.61,7.32,100.17
2023-05-02,Chennai,10,10,0,1471.29,9.31,147.13
2025-08-13,Delhi,9,6,0,317.5,3.53,35.28
2025-07-31,Hyderabad,8,6,0,540.42,5.42,67.55
2023-06-13,Delhi,12,9,0,773.73,5.84,64.48
2024-04-09,Hyderabad,9,7,0,963.39,8.32,107.04
2025-10-05,Mumbai,9,5,0,533.94,4.04,59.33
2024-05-17,Mumbai,8,6,0,543.99,5.13,68.0
2025-02-19,Hyderabad,7,6,0,604.39,7.04,86.34
2023-05-10,Delhi,8,5,0,353.0,4.41,44.13
2024-10-04,Delhi,7,5,0,497.9,7.11,71.13
2023-03-08,Delhi,6,4,0,399.6,6.66,66.6
2023-08-20,Bangalore,14,12,0,1968.67,7.59,140.62
2023-01-05,Bangalore,9,9,0,1288.76,7.77,143.2
2025-06-05,Delhi,10,6,0,512.5,5.13,51.25
2023-01-12,Hyderabad,11,9,0,912.75,6.54,82.98
2025-03-20,Hyderabad,8,4,0,398.0,4.21,49.75
2023-06-28,Bangalore,9,9,0,1493.93,8.95,165.99
2024-09-04,Hyderabad,6,6,0,725.05,9.39,120.84
2024-09-10,Chennai,10,9,0,1052.78,6.47,105.28
2024-11-17,Chennai,7,6,0,720.06,6.66,102.87
2024-03-02,Chennai,12,9,0,1221.2,6.12,101.77
2025-06-15,Hyderabad,6,5,0,615.35,8.92,102.56
2025-07-01,Bangalore,7,6,0,996.24,7.48,142.32
2024-08-13,Mumbai,7,4,0,513.15,4.89,73.31
2023-01-01,Mumbai,13,10,0,1234.26,7.16,94.94
2024-06-17,Delhi,10,6,0,427.4,4.27,42.74
2025-06-17,Bangalore,7,7,0,1047.8,7.48,149.69
2025-10-15,Bangalore,8,5,0,546.87,3.47,68.36
2023-10-11,Delhi,8,5,0,432.68,5.05,54.09
2023-12-01,Chennai,9,8,0,987.29,6.48,109.7
2024-09-04,Mumbai,14,7,0,826.41,4.74,59.03
2024-01-04,Bangalore,7,7,0,624.42,4.65,89.2
2024-03-14,Chennai,7,7,0,1181.49,9.74,168.78
2023-11-13,Hyderabad,5,4,0,300.52,5.11,60.1
2024-05-06,Bangalore,9,8,0,940.38,5.92,104.49
2024-05-02,Chennai,13,12,0,1374.47,6.28,105.73
2024-01-22,Mumbai,18,13,0,1217.73,5.12,67.65
2023-12-11,Mumbai,13,8,0,934.95,5.03,71.92
2023-08-09,Hyderabad,8,5,0,639.04,6.04,79.88
2025-02-18,Mumbai,8,4,0,419.85,4.21,52.48
2025-06-13,Chennai,10,8,0,586.72,3.67,58.67
2025-05-05,Chennai,7,7,0,802.35,7.38,114.62
2025-12-17,Delhi,6,4,0,332.1,5.54,55.35
2025-06-26,Bangalore,7,6,0,973.73,7.4,139.1
2024-09-29,Mumbai,12,5,0,464.7,2.76,38.73
2023-12-25,Hyderabad,10,7,0,715.09,5.75,71.51
2025-09-17,Chennai,9,7,0,519.47,3.78,57.72
2023-08-17,Delhi,6,5,0,390.0,6.5,65.0
2023-05-24,Hyderabad,10,8,0,737.3,5.66,73.73
2024-05-19,Delhi,6,5,0,294.2,4.9,49.03
2023-09-02,Chennai,10,8,0,1140.33,7.12,114.03
2025-01-30,Bangalore,9,8,0,1250.09,7.41,138.9
2024-01-03,Hyderabad,12,10,0,1288.56,7.87,107.38
2025-10-16,Hyderabad,13,10,0,1061.7,6.59,81.67
2024-02-18,Chennai,10,10,0,1473.34,9.06,147.33
2024-09-20,Chennai,13,9,0,869.51,4.43,66.89
2023-12-16,Chennai,8,8,0,1165.5,8.25,145.69
2023-09-13,Mumbai,7,6,0,564.96,6.17,80.71
2025-05-16,Delhi,11,6,0,443.9,4.04,40.35
2025-04-22,Hyderabad,5,5,0,522.74,7.83,104.55
2023-11-24,Delhi,6,3,0,289.3,4.82,48.22
2025-09-30,Hyderabad,12,11,0,1257.65,7.87,104.8
2025-07-06,Hyderabad,8,4,0,578.64,5.29,72.33
2025-08-19,Delhi,9,6,0,537.45,5.63,59.72
2023-09-01,Chennai,7,7,0,725.14,6.67,103.59
2024-12-03,Bangalore,6,6,0,935.8,8.01,155.97
2024-01-04,Mumbai,10,7,0,546.9,3.77,54.69
2023-03-22,Chennai,11,10,0,1054.58,6.22,95.87
2025-03-03,Hyderabad,13,11,0,1163.16,7.26,89.47
2023-06-30,Delhi,11,7,0,566.35,4.98,51.49
2024-07-23,Mumbai,6,3,0,373.02,4.3,62.17
2024-05-03,Hyderabad,9,6,0,515.13,4.53,57.24
2024-01-24,Bangalore,11,10,0,1705.73,8.22,155.07
2024-02-12,Chennai,9,8,0,1266.45,8.12,140.72
2024-09-02,Delhi,11,9,0,546.67,4.87,49.7
2024-07-14,Chennai,12,9,0,1157.25,6.4,96.44
2024-04-03,Bangalore,9,8,0,1165.7,6.8,129.52
2026-01-11,Bangalore,5,5,0,794.62,8.57,158.92
2023-08-08,Mumbai,13,9,0,1053.93,5.96,81.07
2025-07-19,Chennai,11,11,0,1333.71,7.19,121.25
2024-06-02,Bangalore,10,9,0,1328.83,6.95,132.88
2024-01-08,Chennai,13,12,0,1463.43,6.74,112.57
2024-11-11,Bangalore,7,7,0,1205.76,9.31,172.25
2023-05-25,Mumbai,9,3,0,408.9,3.24,45.43
2025-07-06,Chennai,6,5,0,646.64,6.67,107.77
2024-06-09,Bangalore,3,2,0,261.2,4.35,87.07
2024-09-13,Bangalore,7,7,0,891.96,7.02,127.42
2025-10-15,Delhi,8,6,0,350.9,4.39,43.86
2023-01-18,Bangalore,7,6,0,870.6,6.46,124.37
2025-04-03,Mumbai,8,6,0,748.92,6.89,93.62
2025-01-10,Mumbai,9,9,0,596.22,5.05,66.25
2024-05-04,Delhi,12,8,0,476.3,3.97,39.69
2023-10-27,Bangalore,9,9,0,1022.33,5.99,113.59
2024-12-24,Bangalore,10,9,0,1303.3,7.13,130.33
2023-12-23,Delhi,7,6,0,541.6,7.74,77.37
2025-08-19,Bangalore,8,8,0,1183.84,7.63,147.98
2025-03-19,Delhi,11,8,0,683.88,5.66,62.17
2025-09-06,Hyderabad,7,6,0,609.42,7.13,87.06
2024-08-17,Mumbai,12,5,0,564.12,3.7,47.01
2023-05-31,Chennai,10,9,0,971.71,5.65,97.17
2025-03-07,Chennai,8,6,0,787.69,5.6,98.46
2025-10-25,Bangalore,12,12,0,1935.57,8.48,161.3
2025-11-18,Mumbai,14,11,0,1270.59,6.81,90.76
2024-07-28,Delhi,14,8,0,848.0,5.77,60.57
2024-08-25,Chennai,12,11,0,1550.89,8.31,129.24
2023-01-29,Delhi,10,6,0,476.5,4.58,47.65
2025-12-27,Hyderabad,12,9,0,1016.81,6.9,84.73
2025-04-14,Chennai,9,8,0,925.45,6.53,102.83
2024-01-25,Bangalore,6,6,0,963.72,8.2,160.62
2023-11-21,Delhi,15,10,0,852.12,5.3,56.81
2023-06-05,Chennai,12,12,0,1415.24,7.53,117.94
2024-01-12,Hyderabad,7,7,0,713.52,7.85,101.93
2023-11-29,Mumbai,8,5,0,565.5,4.71,70.69
2023-06-18,Delhi,13,6,0,444.1,3.42,34.16
2025-11-30,Hyderabad,13,8,0,882.31,5.26,67.87
2023-06-07,Delhi,11,5,0,393.73,3.46,35.79
2025-11-29,Delhi,6,4,0,443.45,5.81,73.91
2025-02-14,Delhi,15,15,0,1398.19,8.71,93.21
2024-04-27,Mumbai,16,11,0,1269.6,5.81,79.35
2024-12-28,Delhi,8,4,0,244.4,3.06,30.55
2023-12-02,Hyderabad,12,9,0,791.06,5.0,65.92
2023-06-14,Chennai,13,12,0,1774.44,7.91,136.5
2023-08-18,Delhi,13,9,0,890.67,6.29,68.51
2024-10-08,Hyderabad,4,3,0,269.29,5.37,67.32
2024-11-25,Delhi,14,6,0,567.86,3.97,40.56
2025-06-06,Bangalore,7,6,0,685.2,5.4,97.89
2025-07-27,Mumbai,2,2,0,257.55,9.3,128.78
2025-03-05,Mumbai,8,6,0,530.04,4.66,66.26
2025-10-28,Mumbai,9,8,0,1075.05,8.49,119.45
2025-12-30,Delhi,10,7,0,566.49,5.31,56.65
2024-01-06,Delhi,10,7,0,810.68,7.3,81.07
2024-11-26,Mumbai,7,3,0,450.72,5.37,64.39
2024-04-26,Bangalore,7,7,0,813.56,6.16,116.22
2024-10-25,Hyderabad,7,5,0,509.02,5.54,72.72
2023-01-23,Hyderabad,15,12,0,1196.95,6.69,79.8
2024-04-02,Chennai,8,6,0,931.2,7.21,116.4
2024-11-29,Hyderabad,4,3,0,500.25,8.63,125.06
2025-05-22,Mumbai,10,5,0,641.19,5.01,64.12
2025-06-03,Mumbai,12,10,0,930.18,5.53,77.52
2024-10-29,Mumbai,6,6,0,756.42,9.8,126.07
2023-07-03,Chennai,8,6,0,516.52,3.88,64.57
2025-04-06,Mumbai,7,5,0,498.63,5.66,71.23
